date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:27	243048/243048	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jan%202024%2015:20:28%20GMT	https://gardenadentalgroup.com/	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/index.html	(from )
16:20:28	180/180	---MC-	200	added ('OK')	text/plain	date:Mon,%2015%20Jan%202024%2015:20:28%20GMT	https://gardenadentalgroup.com/robots.txt		(from )
16:20:29	66464/66464	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jan%202024%2015:20:28%20GMT	https://gardenadentalgroup.com/o,baseURI	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/o,baseURI	(from https://gardenadentalgroup.com/)
16:20:30	66464/66464	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jan%202024%2015:20:29%20GMT	https://gardenadentalgroup.com/GET	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/GET	(from https://gardenadentalgroup.com/)
16:20:30	215623/215623	---M--	200	added ('OK')	image/png	etag:%22659f6637-34ac2%22	https://cdn-hemgh.nitrocdn.com/vcNlrUAKJnjjNHqdZLFEUvEMLHAGrvGh/assets/images/optimized/rev-f0965ef/gardenadentalgroup.com/wp-content/uploads/2023/02/texture.png	D:/My%20Web%20Sites/Dental/cdn-hemgh.nitrocdn.com/vcNlrUAKJnjjNHqdZLFEUvEMLHAGrvGh/assets/images/optimized/rev-f0965ef/gardenadentalgroup.com/wp-content/uploads/2023/02/texture.png	(from https://gardenadentalgroup.com/)
16:20:31	66464/66464	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jan%202024%2015:20:31%20GMT	https://gardenadentalgroup.com/Edge/	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/Edge/index.html	(from https://gardenadentalgroup.com/)
16:20:32	8151/8151	---MC-	200	added ('OK')	application/json	date:Mon,%2015%20Jan%202024%2015:20:31%20GMT	https://gardenadentalgroup.com/wp-json/wp/v2/pages/29	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/wp-json/wp/v2/pages/29.json	(from https://gardenadentalgroup.com/)
16:20:33	40970/40970	---MC-	200	added ('OK')	application/rss+xml	etag:%22c23ee876306f4e0249a4c1522506bbf0%22	https://gardenadentalgroup.com/feed/	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/feed/index.html	(from https://gardenadentalgroup.com/)
16:20:33	201930/201930	---MC-	200	added ('OK')	application/json	date:Mon,%2015%20Jan%202024%2015:20:32%20GMT	https://gardenadentalgroup.com/wp-json/	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/wp-json/index.html	(from https://gardenadentalgroup.com/)
16:20:33	736/736	---MC-	200	added ('OK')	application/rss+xml	etag:%22c23ee876306f4e0249a4c1522506bbf0%22	https://gardenadentalgroup.com/comments/feed/	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/comments/feed/index.html	(from https://gardenadentalgroup.com/)
16:20:33	847/847	---MC-	200	added ('OK')	text/xml	date:Mon,%2015%20Jan%202024%2015:20:33%20GMT	https://gardenadentalgroup.com/xmlrpc.php?rsd	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/xmlrpc0db0.php	(from https://gardenadentalgroup.com/)
16:20:34	2326/2326	---MC-	200	added ('OK')	application/json	date:Mon,%2015%20Jan%202024%2015:20:34%20GMT	https://gardenadentalgroup.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgardenadentalgroup.com%2F	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/wp-json/oembed/1.0/embeda9f5.json	(from https://gardenadentalgroup.com/)
16:20:35	2502/2502	---MC-	200	added ('OK')	text/xml	date:Mon,%2015%20Jan%202024%2015:20:35%20GMT	https://gardenadentalgroup.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgardenadentalgroup.com%2F&format=xml	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/wp-json/oembed/1.0/embed9ac4	(from https://gardenadentalgroup.com/)
16:20:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2015%20Jan%202024%2015:20:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/My%20Web%20Sites/Dental/www.googletagmanager.com/gtm.75445.delayed	(from https://gardenadentalgroup.com/)
16:20:36	192778/192778	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jan%202024%2015:20:36%20GMT	https://gardenadentalgroup.com/about/	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/about/index.html	(from https://gardenadentalgroup.com/)
16:20:36	79699/79699	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jan%202024%2015:20:36%20GMT	https://gardenadentalgroup.com/survey.php	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/survey.html	(from https://gardenadentalgroup.com/)
16:20:36	181727/181727	---M--	200	added ('OK')	application/pdf	date:Thu,%2016%20Feb%202023%2006:53:08%20GMT	https://gardenadentalgroup.com/wp-content/uploads/2023/02/Gardena_Patient-Forms.pdf	D:/My%20Web%20Sites/Dental/gardenadentalgroup.com/wp-content/uploads/2023/02/Gardena_Patient-Forms.pdf	(from https://gardenadentalgroup.com/)
